"","ensemble.id","human.disease"
"1","ENSP00000005257","Hypomyelination, global cerebral, 612949 (3)  "
"2","ENSP00000006015","Radioulnar synostosis with amegakaryocytic thrombocytopenia, 605432 (3)  "
"3","ENSP00000013807","Cerebrooculofacioskeletal syndrome 4, 610758 (3)  "
"4","ENSP00000013894","Chanarin-Dorfman syndrome, 275630 (3)  "
"5","ENSP00000016171","Cardiomyopathy, hypertrophic, early-onset fatal (3)  "
"6","ENSP00000016171","Leigh syndrome due to cytochrome c oxidase deficiency, 256000 (3)  "
"7","ENSP00000020945","Piebaldism, 172800 (3)  "
"8","ENSP00000020945","Waardenburg syndrome, type 2D, 608890 (3)  "
"9","ENSP00000025008","Breast cancer, somatic, 114480 (3)  "
"10","ENSP00000028008","Leukoencephalopathy, cystic, without megalencephaly, 612951 (3)  "
"11","ENSP00000029410","Ehlers-Danlos syndrome, progeroid form, 130070 (3)  "
"12","ENSP00000061240","Atrial septal defect 6, 613087 (3)  "
"13","ENSP00000084798","Leber congenital amaurosis 11 (3)  "
"14","ENSP00000084798","Retinitis pigmentosa-10, 180105 (3)  "
"15","ENSP00000084798","Spinocerebellar ataxia-11, 604432 (3)  "
"16","ENSP00000155840","Atrial fibrillation, familial, 3, 607554 (3)  "
"17","ENSP00000155840","Beckwith-Wiedemann syndrome, 130650 (3)  "
"18","ENSP00000155840","Jervell and Lange-Nielsen syndrome, 220400 (3)  "
"19","ENSP00000155840","Long QT syndrome-1, 192500 (3)  "
"20","ENSP00000155840","Short QT syndrome-2, 609621 (3)  "
"21","ENSP00000155840","{Long QT syndrome 1, acquired, susceptibility to}, 192500 (3)  "
"22","ENSP00000163416","Thyroid carcinoma, papillary, 188550 (3)  "
"23","ENSP00000164139","McArdle disease, 232600 (3)  "
"24","ENSP00000168216","17-beta-hydroxysteroid dehydrogenase X deficiency, 300438 (3)  "
"25","ENSP00000168216","Mental retardation, X-linked 17/31, microduplication, 300705 (3)  "
"26","ENSP00000168216","Mental retardation, X-linked syndromic 10, 300220 (3)  "
"27","ENSP00000173229","Myopathy, congenital, Compton-North, 612540 (3)  "
"28","ENSP00000188790","Alexander disease, 203450 (3)  "
"29","ENSP00000188790","Branchiooculofacial syndrome, 113620 (3)  "
"30","ENSP00000188790","Char syndrome, 169100 (3)  "
"31","ENSP00000188790","Ichthyosis follicularis, atrichia, and photophobia syndrome, 308205 (3)  "
"32","ENSP00000193322","Osteopetrosis, autosomal recessive 5, 259720 (3)  "
"33","ENSP00000196371","Succinyl CoA:3-oxoacid CoA transferase deficiency, 245050 (3)  "
"34","ENSP00000205143","Spondylocostal dysostosis, autosomal recessive, 1, 277300 (3)  "
"35","ENSP00000205402","HDL deficiency, type 2, 604091 (3)  "
"36","ENSP00000205402","Hypoalphalipoproteinemia, primary (2)  "
"37","ENSP00000205402","Leigh syndrome, 256000 (3)  "
"38","ENSP00000205402","Maple syrup urine disease, type III, 248600 (3)  "
"39","ENSP00000205402","Tangier disease, 205400 (3)  "
"40","ENSP00000205402","{Coronary artery disease in familial hypercholesterolemia, protection against}, 143890 (3)  "
"41","ENSP00000206513","Specific granule deficiency, 245480 (3)  "
"42","ENSP00000209728","Thyroid papillary carcinoma, 188550 (1)  "
"43","ENSP00000211998","Cardiomyopathy, dilated, 1W, 611407 (3)  "
"44","ENSP00000211998","Cardiomyopathy, familial hypertrophic, 15, 613255 (3)  "
"45","ENSP00000215730","Cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome, 609528 (3)  "
"46","ENSP00000215754","Persistent Mullerian duct syndrome, type I, 261550 (3)  "
"47","ENSP00000215754","{Rheumatoid arthritis, systemic juvenile, susceptibility to}, 604302 (3)  "
"48","ENSP00000215832","Epileptic encephalopathy, Lennox-Gastaut type, 606369 (3)  "
"49","ENSP00000215882","Citrullinemia, adult-onset type II, 603471 (3)  "
"50","ENSP00000215882","Citrullinemia, type II, neonatal-onset, 605814 (3)  "
"51","ENSP00000215882","Hyperornithinemia-hyperammonemia-homocitrullinemia syndrome, 238970 (3)  "
"52","ENSP00000215882","Hypomyelination, global cerebral, 612949 (3)  "
"53","ENSP00000215882","Microcephaly, Amish type, 607196 (3)  "
"54","ENSP00000216185","Spinocerebellar ataxia-2, 183090 (3)  "
"55","ENSP00000216194","Adenylosuccinase deficiency, 103050 (3)  "
"56","ENSP00000216264","Retinitis pigmentosa-26, 608380 (3)  "
"57","ENSP00000216484","Neuropathy, hereditary sensory/autonomic, type IC, 613640 (3)  "
"58","ENSP00000216639","Pontocerebellar hypoplasia type 1, 607596 (3)  "
"59","ENSP00000216727","Oculopharyngeal muscular dystrophy, 164300 (3)  "
"60","ENSP00000216780","PEPCK deficiency, mitochondrial (1)  "
"61","ENSP00000216911","{Colon cancer, susceptibility to}, 114500 (3)  "
"62","ENSP00000216951","Glutathione synthetase deficiency, 266130 (3)  "
"63","ENSP00000216951","Hemolytic anemia due to glutathione synthetase deficiency, 231900 (3)  "
"64","ENSP00000217402","Cataract, posterior polar, 3, 605387 (3)  "
"65","ENSP00000217407","Bothnia retinal dystrophy, 607475 (3)  "
"66","ENSP00000217407","Fundus albipunctatus, 136880 (3)  "
"67","ENSP00000217407","Geroderma osteodysplasticum, 231070 (3)  "
"68","ENSP00000217407","Newfoundland rod-cone dystrophy, 607476 (3)  "
"69","ENSP00000217407","Retinitis punctata albescens, 136880 (3)  "
"70","ENSP00000217426","Hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase (3)  "
"71","ENSP00000218340","Donnai-Barrow syndrome, 222448 (3)  "
"72","ENSP00000218340","Leber congenital amaurosis 2, 204100 (3)  "
